t_N1000,I_N1000,t_N2500,I_N2500,t_N5000,I_N5000,t_N7500,I_N7500,t_N10000,I_N10000,t_N12500,I_N12500,t_N15000,I_N15000,t_N20000,I_N20000
0.0,0.00018018168217189603,0.0,0.00018018168217189603,0.0,0.00018018168217189603,0.0,0.00018018168217189603,0.0,0.00018018168217189603,0.0,0.00018018168217189603,0.0,0.00018018168217189603,0.0,0.00018018168217189603
0.02,0.000183722302374239,0.008,0.00018158966824287609,0.004,0.00018088430534077466,0.0026666666666666666,0.00018064979372930983,0.002,0.00018053265195566923,0.0016,0.00018046240335336492,0.0013333333333333333,0.00018041558613771094,0.001,0.00018035708169672268
0.04,0.00018733249244890117,0.016,0.00018300865601533436,0.008,0.00018158966824287609,0.005333333333333333,0.00018111912136670123,0.004,0.00018088430534077466,0.0032,0.00018074356186942596,0.0026666666666666666,0.00018064979372930983,0.002,0.00018053265195566923
0.06,0.00019101361920808777,0.024,0.00018443873144378638,0.012,0.0001822977815599375,0.008,0.00018158966824287609,0.006,0.0001812366436585379,0.0048000000000000004,0.00018102515840131986,0.004,0.00018088430534077466,0.003,0.00018070839311490846
0.08,0.00019476707631046035,0.032,0.0001858799811541331,0.016,0.00018300865601533436,0.010666666666666666,0.0001820614375248431,0.008,0.00018158966824287609,0.0064,0.00018130719363134836,0.005333333333333333,0.00018111912136670123,0.004,0.00018088430534077466
0.1,0.0001985942847881738,0.04,0.00018733249244890117,0.02,0.000183722302374239,0.013333333333333332,0.0001825344323878362,0.01,0.00018194338043030355,0.008,0.00018158966824287609,0.006666666666666666,0.0001813542422021949,0.005,0.00018106038879976512
0.12,0.00020249669358425514,0.048,0.0001887963533125277,0.024,0.00018443873144378638,0.016,0.00018300865601533436,0.012,0.0001822977815599375,0.009600000000000001,0.00018187258292033055,0.008,0.00018158966824287609,0.006,0.0001812366436585379
0.14,0.00020647578010051567,0.056,0.00019027165241668163,0.028,0.00018515795407323513,0.018666666666666665,0.0001834841115990838,0.014,0.00018265287297350213,0.0112,0.0001821559383492074,0.009333333333333332,0.0001818253998848763,0.007,0.00018141307008391356
0.16,0.00021053305075621073,0.064,0.00019175847912563082,0.032,0.0001858799811541331,0.021333333333333333,0.00018396080233911926,0.016,0.00018300865601533436,0.0128,0.00018243973521606726,0.010666666666666666,0.0001820614375248431,0.008,0.00018158966824287609
0.18,0.00021467004155765283,0.07200000000000001,0.00019325692350164825,0.036000000000000004,0.00018660482362048138,0.024,0.00018443873144378638,0.018000000000000002,0.00018336513203238763,0.014400000000000001,0.00018272397420854256,0.012,0.0001822977815599375,0.009000000000000001,0.00018176643830256976
0.2,0.0002188883186789956,0.08,0.00019476707631046035,0.04,0.00018733249244890117,0.026666666666666665,0.00018491790212976178,0.02,0.000183722302374239,0.016,0.00018300865601533436,0.013333333333333332,0.0001825344323878362,0.01,0.00018194338043030355
0.22,0.00022318947905440177,0.088,0.00019628902902674072,0.044,0.00018806299865879717,0.029333333333333333,0.00018539831762207564,0.022,0.0001840801683930931,0.0176,0.00018329378132621744,0.014666666666666666,0.0001827713904067317,0.011,0.00018212049479354796
0.24,0.00022757515098182477,0.096,0.00019782287383964214,0.048,0.0001887963533125277,0.032,0.0001858799811541331,0.024,0.00018443873144378638,0.019200000000000002,0.0001835793508320407,0.016,0.00018300865601533436,0.012,0.0001822977815599375
0.26,0.0002320469947386278,0.10400000000000001,0.00019936870365837685,0.052000000000000005,0.00018953256751556776,0.034666666666666665,0.00018636289596773582,0.026000000000000002,0.0001847979928837946,0.020800000000000003,0.0001838653652247286,0.017333333333333333,0.00018324622961286968,0.013000000000000001,0.00018247524089726885
0.28,0.00023660670320926815,0.112,0.00020092661211783624,0.056,0.00019027165241668163,0.03733333333333333,0.0001868470653131053,0.028,0.00018515795407323513,0.0224,0.00018415182519728335,0.018666666666666665,0.0001834841115990838,0.014,0.00018265287297350213
0.3,0.00024125600252529234,0.12,0.00020249669358425514,0.06,0.00019101361920808777,0.04,0.00018733249244890117,0.03,0.00018551861637487466,0.024,0.00018443873144378638,0.02,0.000183722302374239,0.015,0.0001828306779567616
0.32,0.0002459966527178702,0.128,0.00020407904316092343,0.064,0.00019175847912563082,0.042666666666666665,0.0001878191806422476,0.032,0.0001858799811541331,0.0256,0.00018472608465940003,0.021333333333333333,0.00018396080233911926,0.016,0.00018300865601533436
0.34,0.000250830448383127,0.136,0.00020567375669393708,0.068,0.00019250624344894948,0.04533333333333333,0.00018830713316875152,0.034,0.00018624204977908795,0.027200000000000002,0.00018501388554036948,0.022666666666666665,0.00018419961189502712,0.017,0.00018318680731767116
0.36,0.0002557592193605092,0.14400000000000002,0.00020728093077799773,0.07200000000000001,0.00019325692350164825,0.048,0.0001887963533125277,0.036000000000000004,0.00018660482362048138,0.028800000000000003,0.00018530213478402293,0.024,0.00018443873144378638,0.018000000000000002,0.00018336513203238763
0.38,0.000260784831424454,0.152,0.00020890066276225887,0.076,0.00019401053065146826,0.050666666666666665,0.0001892868443662171,0.038,0.00018696830405172442,0.0304,0.00018559083308877688,0.025333333333333333,0.00018467816138774222,0.019,0.0001835436303282626
0.4,0.0002659091869896052,0.16,0.00021053305075621073,0.08,0.00019476707631046035,0.05333333333333333,0.00018977860963101338,0.04,0.00018733249244890117,0.032,0.0001858799811541331,0.026666666666666665,0.00018491790212976178,0.02,0.000183722302374239
0.42,0.0002711342258298616,0.168,0.00021217819363561832,0.084,0.0001955265719351554,0.056,0.00019027165241668163,0.042,0.00018769739019077624,0.033600000000000005,0.00018616957968068415,0.028,0.00018515795407323513,0.021,0.0001839011483394252
0.44,0.0002764619258115044,0.176,0.00021383619104850323,0.088,0.00019628902902674072,0.058666666666666666,0.0001907659760415823,0.044,0.00018806299865879717,0.0352,0.00018645962937011308,0.029333333333333333,0.00018539831762207564,0.022,0.0001840801683930931
